"2d tte w or w/o fol w/con,co","C8923","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Employee","1259.96","","","","","","","fee schedule","729.11","2472.37",""
"2vhpv vaccine 3 dose im","90650","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Preferred Blue Ppo","303.81","","","","","","","fee schedule","121.01","326.17",""
"4vhpv vaccine 3 dose im","90649","HCPCS","","","","","facility","outpatient","","","","","","Cigna","Marketplace Exchange","269.09","","","","","","","fee schedule","122.45","330.03",""
"ABACAVIR 300 MG TABLET","50268-049-11","NDC","","","","","facility","both","1","EA","","63","31.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACAMPROSATE 333 MG TABLET,DELAYED RELEASE","0378-6333-80","NDC","","","","","facility","both","1","EA","","13","6.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 325 MG/10.15 ML ORAL SUSPENSION","68094-330-59","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 10.15 ML"
"ACETAMINOPHEN 500 MG TABLET","51645-706-01","NDC","","","","","facility","both","1","EA","","1","0.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACYCLOVIR 400 MG TABLET","60505-5306-1","NDC","","","","","facility","both","1","EA","","18","9","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION","55150-154-10","NDC","","","","","facility","both","1","EA","","98","49","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 10 ML"
"ALLOPURINOL 100 MG TABLET","16714-576-01","NDC","","","","","facility","both","1","EA","","8","4","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ALUMINUM HYDROX-MAGNESIUM CARB 95 MG-358 MG/15 ML ORAL SUSPENSION","0000-9018-58","NDC","","","","","facility","both","1","EA","","16","8","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 118 ML"
"AMANTADINE HCL 50 MG/5 ML ORAL SOLUTION","0121-0646-10","NDC","","","","","facility","both","1","EA","","34","17","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 10 ML"
"AMIODARONE 200 MG TABLET","68382-227-05","NDC","","","","","facility","both","1","EA","","24","12","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMITRIPTYLINE 25 MG TABLET","69367-389-01","NDC","","","","","facility","both","1","EA","","9","4.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"AMPICILLIN 1 GRAM SOLUTION FOR INJECTION","67850-021-00","NDC","","","","","facility","both","1","EA","","51","25.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ANTIHEMOPHILIC FACTOR VIII, FULL LENGTH 1,500 (+/-) UNIT IV SOLUTION","0944-3054-02","NDC","","","","","facility","both","1","EA","","19","9.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ANTITHROMBIN III, HUMAN RECOMBINANT 525 UNIT INTRAVENOUS SOLUTION","42976-121-01","NDC","","","","","facility","both","1","EA","","21","10.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ARIPIPRAZOLE 10 MG TABLET","0904-6511-06","NDC","","","","","facility","both","1","EA","","63","31.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
"ARIPIPRAZOLE 15 MG TABLET","13668-219-30","NDC","","","","","facility","both","1","EA","","191","95.5","","","","","","","","","","","","","Gross Charge Type: Pharmacy | NDC EA = 1 EACH"
